text_id,sentiment_bert
2,-0.98103976
3,0.9621656
5,-0.9726624
6,0.9868065
7,0.82041264
8,-0.08672696
14,-0.9655485
16,-0.37787098
18,-0.9933775
22,-0.9956608
23,0.96573067
24,-0.96990544
26,-0.053197622
27,-0.43563914
30,-0.7413687
32,0.9079875
33,0.99062073
35,0.18665588
38,-0.2686267
39,-0.9961241
42,-0.97043335
43,-0.6291927
45,0.9952067
47,-0.4965346
50,0.98141253
53,-0.9840501
54,-0.91462487
55,-0.9812384
59,-0.9900473
61,-0.9870512
62,-0.98084843
63,0.9879302
64,-0.83545864
66,0.81321263
71,-0.89671147
72,-0.99362755
73,-0.9752781
74,-0.99594116
75,-0.9972885
76,-0.98775584
78,0.99040914
80,-0.99792224
81,0.89847064
82,0.9423243
86,0.9503454
88,-0.768304
89,-0.88619673
93,0.07119322
97,-0.9806949
98,-0.17771643
100,-0.74221957
103,0.9894134
106,0.8563206
109,-0.97482944
112,-0.98403543
113,0.45924044
114,-0.992543
120,-0.99791515
122,-0.9915817
124,0.67782843
125,-0.9855159
126,-0.99426806
128,0.45339882
130,-0.76957065
131,-0.99582416
133,-0.9979587
136,-0.9497669
137,-0.9975268
138,0.99193645
140,-0.97000027
142,-0.16064316
143,-0.9826001
144,0.9543524
145,-0.99475664
148,-0.98608565
149,0.9880376
150,0.99300265
152,-0.97049487
158,-0.9861525
160,-0.99673116
162,-0.9884814
163,0.43917882
164,-0.044288993
169,0.9450282
170,-0.9504458
171,-0.23520964
173,-0.05592656
175,0.944296
178,0.2308929
179,0.9833592
180,0.2846793
184,-0.9771494
185,0.4101733
187,-0.9480175
188,0.8992491
189,-0.99603873
190,-0.9789016
191,-0.98116183
192,-0.9910763
199,0.9714464
200,-0.9806024
202,-0.9912423
204,-0.9413726
205,-0.9745194
208,-0.9292702
211,-0.9931842
212,-0.9609852
215,-0.9910454
216,0.8955854
218,0.9922539
223,-0.90440655
226,0.9761038
227,0.9736837
228,0.9630625
230,-0.16305959
232,0.96348
238,0.81692123
240,-0.9795299
241,-0.9868098
245,-0.99692225
246,-0.9990822
250,-0.23481995
251,0.9753109
257,-0.9989937
258,-0.9738357
261,0.8394202
268,-0.89244
270,-0.9943396
273,0.93173516
274,-0.9938112
275,-0.56068933
276,-0.9794692
278,-0.99051553
280,-0.97631013
281,0.93385196
284,-0.8963525
286,-0.9861873
287,-0.9683837
288,-0.997604
290,0.47662914
291,0.9929224
293,0.78935695
297,-0.50705004
298,-0.9963164
300,0.87492347
301,0.95559394
303,0.9291463
305,-0.71918213
306,-0.9946501
307,-0.7837308
309,-0.9897923
313,-0.9759867
316,-0.98646545
319,-0.95326024
320,-0.28069228
324,-0.9756749
325,-0.95496756
326,-0.88573647
328,0.98478234
329,0.55411243
333,0.9422703
335,-0.99024194
340,-0.82521224
341,0.9839095
342,-0.98466337
343,-0.9927295
345,-0.9657529
346,-0.9936502
348,0.9718934
350,-0.9336902
351,-0.9761315
352,-0.90870494
353,-0.99274415
356,0.8377757
357,-0.8566745
358,-0.35554194
362,0.97677755
364,-0.95703214
366,0.8179219
367,-0.9416998
368,-0.97930664
371,-0.9941425
373,0.850168
374,0.5145763
375,-0.97091293
376,0.9327508
378,-0.20158112
379,-0.9887388
383,-0.98038507
384,-0.9940049
386,0.002357483
387,-0.9979609
388,0.1572982
389,-0.9875225
391,-0.59443736
392,-0.98831266
393,-0.9640908
395,0.16938055
398,-0.9269943
399,-0.9876724
400,0.77842677
401,0.9961493
403,-0.9596837
404,-0.44179606
405,-0.98739845
407,-0.4530819
409,0.9866724
410,-0.9947196
415,-0.9554196
416,0.9616753
417,-0.5647119
418,0.7566165
419,-0.9408849
421,-0.49222922
422,-0.7706909
423,-0.9823492
429,-0.96076435
430,-0.9910321
432,-0.37038916
434,0.7192582
435,0.99061644
437,-0.96105355
438,-0.966523
439,-0.9910056
440,0.9857596
443,0.977985
444,0.96035504
446,-0.9970604
448,0.9973953
450,-0.9964346
451,-0.9962743
452,-0.15842998
453,0.9948684
455,-0.75583094
457,0.9801941
458,-0.98015
459,-0.5073094
460,-0.86534095
461,-0.9508285
466,-0.99328333
468,0.9925723
473,-0.995799
474,-0.97126555
475,-0.94394433
476,-0.8556315
478,-0.9712274
479,-0.93123865
484,-0.6598
485,-0.9381576
487,-0.98044163
488,0.8893002
489,0.74688494
492,-0.9973451
494,-0.9919015
496,-0.9717134
499,0.49970925
500,0.9863306
501,-0.9896962
502,-0.959452
503,-0.98184323
504,0.49709785
505,0.07648003
507,-0.98823345
508,0.96767557
510,-0.9836407
512,-0.21808988
513,-0.9475013
514,-0.9208442
515,-0.992288
518,0.52099323
520,0.8655542
523,-0.97924584
525,0.95966697
526,-0.9581323
528,0.9198383
533,-0.9665393
534,-0.959695
538,-0.9366007
540,-0.98842436
543,-0.9654293
552,-0.9854676
553,0.9989984
555,-0.41146857
556,-0.97980624
559,-0.9930162
560,-0.8095337
562,-0.9961612
563,-0.3361283
565,-0.98694634
568,0.74105513
569,-0.4848926
574,0.7040547
575,0.92541575
577,0.9543278
578,0.99331903
579,-0.9971025
582,-0.9830893
583,-0.98075813
586,0.46019614
589,-0.8699597
590,0.95921445
592,0.9855058
593,-0.9173254
595,-0.8140046
596,0.9985938
597,-0.9911803
598,-0.76647246
601,0.009110332
606,-0.9824635
608,-0.94906074
610,0.9742414
614,-0.9746144
616,0.9974382
619,-0.9220378
620,-0.6564441
621,0.20394409
622,-0.9896962
623,-0.9969177
624,0.9684565
626,-0.9959719
627,-0.99416816
631,-0.9659045
632,-0.6953611
633,-0.99608094
637,-0.9746693
638,-0.9504602
641,0.9911307
642,-0.99881566
643,-0.9941148
644,-0.9631136
645,0.91548455
646,-0.95077944
647,-0.9769395
648,0.88376474
651,-0.7515339
652,-0.25700557
657,-0.9730227
664,-0.7619053
668,-0.9907357
669,-0.9918909
671,0.821072
672,0.6783364
673,-0.9893086
674,0.98114455
677,-0.98622125
680,-0.96749276
685,-0.9927295
687,-0.9896962
691,0.3032086
692,-0.95680463
693,-0.40480542
694,-0.8544768
697,0.9499929
698,-0.998421
699,-0.98997
700,-0.9798716
703,-0.99841195
704,0.9733093
705,-0.7605967
706,-0.9974947
707,0.9945446
708,-0.99616385
710,0.88518786
713,-0.8795568
714,-0.98966116
715,0.9175322
716,-0.989496
717,-0.9743358
718,-0.983333
720,-0.9865708
721,-0.9945567
722,0.98318124
725,0.46238112
726,-0.9859582
728,-0.97418857
730,-0.076407135
